chief_country_cd,country_cd
AD,AD
AE,AE
AF,AF
AG,AG
AI,AI
AL,AL
AM,AM
AN,AN
AO,AO
AQ,AQ
AR,AR
AS,AS
AT,AT
AU,AU
AW,AW
AZ,AZ
BA,BA
BB,BB
BD,BD
BE,BE
BF,BF
BG,BG
BH,BH
BI,BI
BJ,BJ
BM,BM
BN,BN
BO,BO
BR,BR
BS,BS
BT,BT
BV,BV
BW,BW
BY,BY
BZ,BZ
CA,CA
CC,CC
CD,CD
CF,CF
CG,CG
CH,CH
CI,CI
CK,CK
CL,CL
CM,CM
CN,CN
CO,CO
CR,CR
CU,CU
CV,CV
CX,CX
CY,CY
CZ,CZ
DE,DE
DJ,DJ
DK,DK
DM,DM
DO,DO
DZ,DZ
EC,EC
EE,EE
EG,EG
ER,ER
ES,ES
ET,ET
EU,EU
FI,FI
FJ,FJ
FK,FK
FM,FM
FO,FO
FR,FR
GA,GA
GB,GB
GD,GD
GE,GE
GH,GH
GI,GI
GL,GL
GM,GM
GN,GN
GQ,GQ
GR,GR
GT,GT
GU,GU
GW,GW
GY,GY
HK,HK
HM,HM
HN,HN
HR,HR
HT,HT
HU,HU
ID,ID
IE,IE
IL,IL
IN,IN
IO,IO
IQ,IQ
IR,IR
IS,IS
IT,IT
JM,JM
JO,JO
JP,JP
KE,KE
KG,KG
KH,KH
KI,KI
KM,KM
KN,KN
KP,KP
KR,KR
KW,KW
KY,KY
KZ,KZ
LA,LA
LB,LB
LC,LC
LI,LI
LK,LK
LR,LR
LS,LS
LT,LT
LU,LU
LV,LV
LY,LY
MA,MA
MD,MD
ME,ME
MG,MG
MH,MH
ML,ML
MM,MM
MN,MN
MO,MO
MP,MP
MR,MR
MS,MS
MT,MT
MU,MU
MV,MV
MW,MW
MX,MX
MY,MY
MZ,MZ
NA,NA
NC,NC
NE,NE
NF,NF
NG,NG
NI,NI
NL,NL
NO,NO
NP,NP
NR,NR
NU,NU
NZ,NZ
OM,OM
PA,PA
PE,PE
PF,PF
PG,PG
PH,PH
PK,PK
PL,PL
PM,PM
PN,PN
PS,PS
PT,PT
PW,PW
PY,PY
QA,QA
QQ,QQ
QR,QR
QS,QS
QU,QU
QV,QV
QW,QW
QX,QX
QY,QY
QZ,QZ
RO,RO
RU,RU
RW,RW
SA,SA
SB,SB
SC,SC
SD,SD
SE,SE
SG,SG
SH,SH
SI,SI
SK,SK
SL,SL
SN,SN
SO,SO
SR,SR
ST,ST
SV,SV
SY,SY
SZ,SZ
TC,TC
TD,TD
TF,TF
TG,TG
TH,TH
TJ,TJ
TK,TK
TL,TL
TM,TM
TN,TN
TO,TO
TR,TR
TT,TT
TV,TV
TW,TW
TZ,TZ
UA,UA
UG,UG
UM,UM
US,US
UY,UY
UZ,UZ
VC,VC
VE,VE
VG,VG
VI,VI
VN,VN
VU,VU
WF,WF
WS,WS
YE,YE
ZA,ZA
ZM,ZM
ZW,ZW
MK,MK
XC,XC
XK,XK
XL,XL
XS,XS
YT,YT
DH,AE
DU,AE
HA,AE
ZB,BE
ZG,DE
ZD,DK
ZF,FR
GF,FR
GP,FR
MQ,FR
RE,FR
IM,GB
GS,GB
ZU,GB
GZ,GS
ZE,IE
SM,SM
VA,IT
XJ,MK
RY,MK
ZH,NL
ZN,NO
GJ,PS
FQ,TF
PR,US
JE,JE
GG,GG
