chief_country_grp,country_grp_region,country_exclusions
D066,1011,"AD,FO,NO,SM,IS"
D067,1011,"AD,FO,NO,SM"
G001,1011,nil
G012,1011,nil
D011,1011,nil
A001,A001,nil
A002,A002,nil
A003,A003,nil
A004,A004,nil
A005,A005,nil
A006,A006,nil
A007,A007,nil
A008,A008,nil
A009,A009,nil
A010,A010,nil
A012,A012,nil
A013,A013,nil
A014,A014,nil
A015,A015,nil
A016,A016,nil
A017,A017,nil
A018,A018,nil
A019,A019,nil
A020,A020,nil
A021,A021,nil
A022,A022,nil
A023,A023,nil
A024,A024,nil
A025,A025,nil
A026,A026,nil
A027,A027,nil
A028,A028,nil
A029,A029,nil
A030,A030,nil
A031,A031,nil
A032,A032,nil
A033,A033,nil
A034,A034,nil
A035,A035,nil
A036,A036,nil
A037,A037,nil
A038,A038,nil
A039,A039,nil
A040,A040,nil
A041,A041,nil
A042,A042,nil
A043,A043,nil
A044,A044,nil
A045,A045,nil
A046,A046,nil
A047,A047,nil
A048,A048,nil
A049,A049,nil
A050,A050,nil
A051,A051,nil
A052,A052,nil
A053,A053,nil
A054,A054,nil
A055,A055,nil
A056,A056,nil
A057,A057,nil
A058,A058,nil
A059,A059,nil
A060,A060,nil
A061,A061,nil
A062,A062,nil
A063,A063,nil
A064,A064,nil
A065,A065,nil
A067,A067,nil
A068,A068,nil
A069,A069,nil
A070,A070,nil
A071,A071,nil
A072,A072,nil
A073,A073,nil
A074,A074,nil
A075,A075,nil
A076,A076,nil
A077,A077,nil
A078,A078,nil
A079,A079,nil
A080,A080,nil
A081,A081,nil
A082,A082,nil
A083,A083,nil
A084,A084,nil
A085,A085,nil
A087,A087,nil
A088,A088,nil
A089,A089,nil
A090,A090,nil
A091,A091,nil
A092,A092,nil
A093,A093,nil
A094,A094,nil
A095,A095,nil
A096,A096,nil
A097,A097,nil
A098,A098,nil
A099,A099,nil
A100,A100,nil
A101,A101,nil
A102,A102,nil
A103,A103,nil
A104,A104,nil
A105,A105,nil
A106,A106,nil
A107,A107,nil
A108,A108,nil
A109,A109,nil
A110,A110,nil
A111,A111,nil
A112,A112,nil
A113,A113,nil
A114,A114,nil
A115,A115,nil
A116,A116,nil
A117,A117,nil
A118,A118,nil
A119,A119,nil
A120,A120,nil
A201,A201,nil
B002,B002,nil
B003,B003,nil
B004,B004,nil
B005,B005,nil
B006,B006,nil
B007,B007,nil
B008,B008,nil
B009,B009,nil
B010,B010,nil
B011,B011,nil
B012,B012,nil
B013,B013,nil
B014,B014,nil
B015,B015,nil
B016,B016,nil
B017,B017,nil
B018,B018,nil
B019,B019,nil
B020,B020,nil
B021,B021,nil
B022,B022,nil
B023,B023,nil
B024,B024,nil
B025,B025,nil
B026,B026,nil
B027,B027,nil
B028,B028,nil
B029,B029,nil
B030,B030,nil
B031,B031,nil
B032,B032,nil
B033,B033,nil
B034,B034,nil
B035,B035,nil
B036,B036,nil
B037,B037,nil
B038,B038,nil
B039,B039,nil
B040,B040,nil
B041,B041,nil
B042,B042,nil
B043,B043,nil
B044,B044,nil
B045,B045,nil
B046,B046,nil
B048,B048,nil
B049,B049,nil
B050,B050,nil
B051,B051,nil
B052,B052,nil
B053,B053,nil
B054,B054,nil
B055,B055,nil
B056,B056,nil
B057,B057,nil
B058,B058,nil
B059,B059,nil
B060,B060,nil
B061,B061,nil
B062,B062,nil
B063,B063,nil
B064,B064,nil
B065,B065,nil
B066,B066,nil
B067,B067,nil
B068,B068,nil
B069,B069,nil
B070,B070,nil
B071,B071,nil
B072,B072,nil
B073,B073,nil
B074,B074,nil
B075,B075,nil
B076,B076,nil
B077,B077,nil
B078,B078,nil
B079,B079,nil
B080,B080,nil
B081,B081,nil
B082,B082,nil
B084,B084,nil
B085,B085,nil
B086,B086,nil
B087,B087,nil
B088,B088,nil
B089,B089,nil
B090,B090,nil
B091,B091,nil
B092,B092,nil
B093,B093,nil
B094,B094,nil
B095,B095,nil
B096,B096,nil
B097,B097,nil
B098,B098,nil
B099,B099,nil
B100,B100,nil
B101,B101,nil
B102,B102,nil
B103,B103,nil
B104,B104,nil
B105,B105,nil
B106,B106,nil
B107,B107,nil
B108,B108,nil
B109,B109,nil
B110,1011,nil
B111,B111,nil
B112,B112,nil
B113,B113,nil
B114,B114,nil
B115,B115,nil
B116,B116,nil
B117,B117,nil
B118,B118,nil
B119,B119,nil
B120,B120,nil
B121,B121,nil
B122,B122,nil
C002,C002,nil
D001,D001,nil
D002,D002,nil
D003,D003,nil
D004,D004,nil
D005,D005,nil
D006,D006,nil
D007,D007,nil
D008,D008,nil
D009,D009,nil
D010,D010,nil
D012,D012,nil
D013,D013,nil
D014,D014,nil
D015,D015,nil
D016,D016,nil
D017,D017,nil
D018,D018,nil
D019,D019,nil
D020,D020,nil
D021,D021,nil
D022,D022,nil
D023,D023,nil
D024,D024,nil
D025,D025,nil
D026,D026,nil
D027,D027,nil
D028,D028,nil
D029,D029,nil
D030,D030,nil
D031,D031,nil
D032,D032,nil
D033,D033,nil
D034,D034,nil
D035,D035,nil
D036,D036,nil
D037,D037,nil
D038,D038,nil
D040,D040,nil
D041,D041,nil
D042,D042,nil
D043,D043,nil
D044,D044,nil
D045,D045,nil
D046,D046,nil
D047,D047,nil
D049,D049,nil
D050,D050,nil
D051,D051,nil
D052,D052,nil
D053,D053,nil
D054,D054,nil
D055,D055,nil
D056,D056,nil
D057,D057,nil
D058,D058,nil
D059,D059,nil
D060,D060,nil
D061,D061,nil
D062,D062,nil
D063,D063,nil
D064,D064,nil
D065,D065,nil
F001,F001,nil
F002,F002,nil
F003,F003,nil
F004,F004,nil
F005,F005,nil
F006,F006,nil
F008,F008,nil
F009,F009,nil
F010,F010,nil
F011,F011,nil
F012,F012,nil
F800,F800,nil
G002,G002,nil
G003,G003,nil
G004,G004,nil
G005,G005,nil
G007,G007,nil
G008,G008,nil
G009,G009,nil
G010,G010,nil
G011,G011,nil
G013,G013,nil
G014,G014,nil
G015,G015,nil
G017,G017,nil
G018,G018,nil
G019,G019,nil
G020,G020,nil
G021,G021,nil
G022,G022,nil
G023,G023,nil
G024,G024,nil
G025,G025,nil
G026,G026,nil
G027,G027,nil
G028,G028,nil
G029,G029,nil
G030,G030,nil
G031,G031,nil
G032,G032,nil
G033,G033,nil
G034,G034,nil
G035,G035,nil
G036,G036,nil
G037,G037,nil
G038,G038,nil
G039,G039,nil
G040,G040,nil
G041,G041,nil
G042,G042,nil
G043,G043,nil
G044,G044,nil
G045,G045,nil
G048,G048,nil
G050,G050,nil
G052,G052,nil
G053,G053,nil
G054,G054,nil
G055,G055,nil
G056,G056,nil
G057,G057,nil
G058,G058,nil
G059,G059,nil
G060,G060,nil
G061,G061,nil
G062,G062,nil
G063,G063,nil
G064,G064,nil
G065,G065,nil
G066,G066,nil
G067,G067,nil
G068,G068,nil
G069,G069,nil
G070,G070,nil
G071,G071,nil
G072,G072,nil
G073,G073,nil
G074,G074,nil
G075,G075,nil
G076,G076,nil
G077,G077,nil
G078,G078,nil
G079,G079,nil
G080,G080,nil
G081,G081,nil
G082,G082,nil
G084,G084,nil
G085,G085,nil
G086,G086,nil
G087,G087,nil
G088,G088,nil
G089,G089,nil
G090,G090,nil
G091,G091,nil
G092,G092,nil
G093,G093,nil
G094,G094,nil
G095,G095,nil
G096,G096,nil
G097,G097,nil
G098,G098,nil
G099,G099,nil
G106,G106,nil
G110,G110,nil
G111,G111,nil
G112,G112,nil
G117,G117,nil
G124,G124,nil
G996,G996,nil
G997,G997,nil
G998,G998,nil
G999,G999,nil
H001,H001,nil
H002,H002,nil
I000,I000,nil
