id,measure_type_id,footn_type_id,footn_id
95,EDJ,01,540
1,DAA,01,411
2,DAB,01,412
3,DAC,01,413
4,DAE,01,415
5,DAI,01,419
6,DBA,01,421
7,DBB,01,422
8,DBC,01,423
9,DBE,01,425
10,DBI,01,429
11,DCA,01,431
12,DCC,01,433
13,DCE,01,435
14,DCH,01,438
15,DDJ,01,440
16,DDJ,02,440
17,DDA,01,441
18,DDA,02,441
19,DDB,01,442
20,DDC,01,443
21,DEA,01,451
22,DGC,01,473
23,DHA,01,481
24,DHC,01,483
25,DHE,01,485
26,EAA,01,511
27,EAE,01,515
28,EBJ,01,520
29,EBA,01,521
30,EBB,01,522
31,EBE,01,525
32,EDA,01,541
33,EDB,01,542
34,EDE,01,545
35,EEA,01,551
36,EEF,01,556
37,EFJ,01,560
38,EFA,01,561
39,EGJ,01,570
40,EHI,01,589
41,EIJ,01,590
42,EIC,01,593
43,EID,01,594
44,FAA,01,611
45,FAA,02,611
46,FAE,01,615
47,FAI,01,619
48,FBC,01,623
49,FBG,01,627
50,VTA,03,001
51,VTE,03,005
52,VTS,03,020
53,VTZ,03,026
54,DFA,01,461
55,DFB,01,462
56,DFC,01,463
57,EIA,01,591
58,EIB,01,592
59,EIE,01,595
60,LAA,01,511
61,LAE,01,515
62,LBJ,01,520
63,LBA,01,521
64,LBB,01,522
65,LBE,01,525
66,LDA,01,541
67,LEA,01,551
68,LEF,01,556
69,LFA,01,561
70,LGJ,01,570
71,EGA,01,571
72,EGB,01,572
73,AIL,04,001
75,AHC,04,003
76,ATT,04,004
78,COI,04,005
79,CVD,04,006
80,HOP,04,007
81,HSE,04,008
83,PHC,04,009
84,PRT,04,010
85,QRC,04,011
86,SFS,04,012
87,DPO,04,013
89,COE,04,015
90,PRE,04,016
91,CEX,04,017
94,EQC,04,018
96,DDD,01,444
97,DDE,01,445
98,DDF,01,446
99,DDG,01,447
